Nhóm,Giai đoạn / Module,Nhóm chức năng,Hạng mục,Kết quả cần đạt / Ảnh hưởng,Trạng thái,Ưu tiên,Phụ trách,Hoàn thành,Ghi chú
Roadmap,GĐ1 · Nền tảng,Hội thoại,Viết lại giao diện trên nền eCDP,Toàn bộ màn hội thoại chạy trên mã nguồn mới,Xong,Cao,,,"Fork mã nguồn eCDP, cắm vào backend TDVN"
Roadmap,GĐ1 · Nền tảng,Hội thoại,Gộp đa kênh về một hộp thư,"Zalo cá nhân, Zalo OA, Web chat, Facebook, TikTok Shop",Xong,Cao,,,
Roadmap,GĐ1 · Nền tảng,Cài đặt,Phân quyền động theo vai trò,Menu và API lọc theo quyền thật,Xong,Cao,,,Server vẫn chặn 403 độc lập với giao diện
Roadmap,GĐ1 · Nền tảng,Toàn hệ thống,Bỏ 4 module không dùng,"Báo giá, Ưu đãi, Chiến dịch ZNS, Phân tích",Xong,Trung bình,,,
Roadmap,GĐ2 · Bán hàng trong hội thoại,Tài liệu bán hàng,Thư viện thư mục nhiều cấp,"Admin tự dựng cây thư mục, 7 loại tài nguyên",Xong,Cao,,,
Roadmap,GĐ2 · Bán hàng trong hội thoại,Tài liệu bán hàng,Luồng gửi khách hai bước,"Chọn nguồn, tick từng phần, xem trước rồi gửi",Xong,Cao,,,Thay luồng cũ tick rồi bắn
Roadmap,GĐ2 · Bán hàng trong hội thoại,Đơn hàng,Tạo đơn ngay trong hội thoại,Đơn đẩy thẳng sang CRM,Xong,Cao,,,
Roadmap,GĐ2 · Bán hàng trong hội thoại,Đơn hàng,Tin xác nhận theo mẫu phiếu bán hàng,"Đủ thông tin công ty, bảng hàng, tiền, hoá đơn GTGT",Xong,Cao,,,
Roadmap,GĐ2 · Bán hàng trong hội thoại,Đơn hàng,Mã khách hàng trên phiếu,Phiếu in được mã KH như bản giấy,Chờ phụ thuộc,Trung bình,,,CRM chưa trả mã khách khi tạo đơn — cần CRM sửa
Roadmap,GĐ3 · Sản phẩm & Mini App,Sản phẩm,Cấu trúc dữ liệu sản phẩm chuẩn,Một hợp đồng dữ liệu cho cả giao diện và AI,Xong,Cao,,,Đổi nguồn chỉ cần map lại normalizeProduct
Roadmap,GĐ3 · Sản phẩm & Mini App,Sản phẩm,Nguồn tạm từ bảng nội bộ,78 sản phẩm thật hiển thị được ngay,Xong,Cao,,,Bảng nội bộ sẽ bỏ khi có API chính thức
Roadmap,GĐ3 · Sản phẩm & Mini App,Sản phẩm,Đấu nối API sản phẩm chính thức TDVN,Giá và tồn kho lấy từ hệ thống gốc,Chờ phụ thuộc,Cao,,,Chờ TDVN cung cấp endpoint và khoá
Roadmap,GĐ3 · Sản phẩm & Mini App,Sản phẩm,Bổ sung mã cho sản phẩm còn thiếu,Đủ mã để ghép tài liệu và dựng link,Chờ phụ thuộc,Cao,,,57/78 sản phẩm chưa có mã trong dữ liệu nguồn
Roadmap,GĐ3 · Sản phẩm & Mini App,Sản phẩm,Tab Sản phẩm trong hội thoại,"Thẻ hàng ngang có ảnh, giá, nút gửi",Xong,Cao,,,
Roadmap,GĐ3 · Sản phẩm & Mini App,Sản phẩm,Link Mini App thật,Khách bấm vào xem và đặt được hàng,Chờ phụ thuộc,Cao,,,Cần địa chỉ Mini App thật để đặt ZALO_MINIAPP_PRODUCT_URL
Roadmap,GĐ4 · AI,AI,Trợ lý nội bộ cho nhân viên,"Nhân viên tra cứu sản phẩm, chính sách, quy trình",Xong,Cao,,,
Roadmap,GĐ4 · AI,AI,AI đọc tài liệu bán hàng khi tư vấn,Câu trả lời bám tài liệu công ty,Xong,Cao,,,Thêm lớp ngữ cảnh có ngân sách ký tự riêng
Roadmap,GĐ4 · AI,AI,Nhập tài liệu thật cho AI đọc,Đủ tư liệu để AI tư vấn đúng,Chưa bắt đầu,Cao,,,"Nhân sự nhập nội dung, hệ thống đã sẵn sàng"
Roadmap,GĐ4 · AI,AI,Đánh giá chất lượng câu trả lời,Có số liệu để biết AI trả lời tốt tới đâu,Chưa bắt đầu,Trung bình,,,
Roadmap,GĐ5 · Đào tạo & vận hành,Hướng dẫn sử dụng,Nút HDSD và hướng dẫn theo module,Nhân viên mới tự học được,Xong,Trung bình,,,9 module có phần đọc
Roadmap,GĐ5 · Đào tạo & vận hành,Hướng dẫn sử dụng,Tour tương tác module Hội thoại,"23 bước, 6 chương, đi từ tổng quan xuống từng nút",Xong,Trung bình,,,
Roadmap,GĐ5 · Đào tạo & vận hành,Hướng dẫn sử dụng,Tour chi tiết các module còn lại,Mỗi module chính có tour đầy đủ,Chưa bắt đầu,Trung bình,,,"Tạo đơn, Sản phẩm, Tài liệu bán hàng, AI"
Roadmap,GĐ5 · Đào tạo & vận hành,Toàn hệ thống,Đào tạo đội sale,Cả đội dùng được không cần hỏi lại,Chưa bắt đầu,Cao,,,
Roadmap,GĐ6 · Bảo mật & bàn giao,Toàn hệ thống,Gỡ bí mật khỏi kho mã công khai,Không còn khoá dịch vụ nào trong lịch sử git,Chưa bắt đầu,Cao,,,Xem sheet Việc tồn & rủi ro
Roadmap,GĐ6 · Bảo mật & bàn giao,Tích hợp,Bật xác thực cho cầu nối CRM,Cầu nối từ chối yêu cầu không có khoá hợp lệ,Chưa bắt đầu,Cao,,,"Hiện kiểm tra bị vô hiệu, cầu nối coi như mở"
Roadmap,GĐ6 · Bảo mật & bàn giao,Toàn hệ thống,Gộp PR #1 vào main,Mã nguồn mới thành bản chính,Đang làm,Cao,,,Chờ anh thangvm review
Roadmap,GĐ6 · Bảo mật & bàn giao,Toàn hệ thống,Đưa lên môi trường thật,Đội sale dùng bản chính thức,Chưa bắt đầu,Cao,,,
Checklist,Hội thoại,Hộp thư,Gộp đa kênh về một danh sách,,Xong,,,,
Checklist,Hội thoại,Hộp thư,Bộ lọc Tất cả · Chưa đọc · Chưa trả lời,,Xong,,,,
Checklist,Hội thoại,Hộp thư,Bộ lọc AI tư vấn,,Xong,,,,Lọc hội thoại đang để AI tự trả lời
Checklist,Hội thoại,Hộp thư,Tìm theo tên và số điện thoại,,Xong,,,,
Checklist,Hội thoại,Khung chat,"Gửi chữ, ảnh, tệp, sticker",,Xong,,,,
Checklist,Hội thoại,Khung chat,Lọc tin theo người gửi,,Xong,,,,Tất cả · Khách · AI · Nhân viên
Checklist,Hội thoại,Khung chat,"Thư viện ảnh, tệp, liên kết của hội thoại",,Xong,,,,
Checklist,Hội thoại,Khung chat,Kéo lịch sử cũ từ Zalo,,Xong,,,,
Checklist,Hội thoại,Khung chat,Trả lời trích dẫn và nhắc tên trong nhóm,,Xong,,,,
Checklist,Hội thoại,Cột hồ sơ khách,Hồ sơ CRM theo số điện thoại,,Xong,,,,
Checklist,Hội thoại,Cột hồ sơ khách,Thẻ hạng hội viên cạnh tiêu đề,,Xong,,,,
Checklist,Hội thoại,Cột hồ sơ khách,Ghi chú nhanh theo hội thoại,,Xong,,,,
Checklist,Hội thoại,Cột hồ sơ khách,Phân tích khách hàng bằng AI,,Xong,,,,
Checklist,Đơn hàng,Tạo đơn,Điền sẵn thông tin khách từ hồ sơ,,Xong,,,,
Checklist,Đơn hàng,Tạo đơn,Ô tìm sản phẩm và ô tìm quà tặng tách riêng,,Xong,,,,Đồng nhất với CRM
Checklist,Đơn hàng,Tạo đơn,Chọn kho và loại đơn,,Xong,,,,
Checklist,Đơn hàng,Tạo đơn,Phí vận chuyển tính theo quy tắc CRM,,Xong,,,,
Checklist,Đơn hàng,Thanh toán,COD và chuyển khoản VietQR,,Xong,,,,
Checklist,Đơn hàng,Thanh toán,"Ghi nhận tiền cọc, tính phần còn thu",,Xong,,,,
Checklist,Đơn hàng,Sau khi tạo,Phiếu bán hàng gửi khách qua Zalo,,Xong,,,,
Checklist,Đơn hàng,Sau khi tạo,Thông tin công ty đọc từ cấu hình,,Xong,,,,Đổi được mà không phải sửa mã
Checklist,Đơn hàng,Sau khi tạo,In mã khách hàng lên phiếu,,Chờ phụ thuộc,,,,CRM chưa trả mã khách khi tạo đơn
Checklist,Sản phẩm,Nguồn dữ liệu,Cấu trúc dữ liệu chuẩn CrmProduct,,Xong,,,,
Checklist,Sản phẩm,Nguồn dữ liệu,Nguồn cầu nối CRM bằng khoá dịch vụ,,Xong,,,,
Checklist,Sản phẩm,Nguồn dữ liệu,Nguồn API dashboard bằng token,,Xong,,,,"Token hết hạn theo phiên, chỉ hợp thử nghiệm"
Checklist,Sản phẩm,Nguồn dữ liệu,Nguồn bảng nội bộ dùng tạm,,Xong,,,,"78 sản phẩm thật, sẽ bỏ khi có API chính thức"
Checklist,Sản phẩm,Nguồn dữ liệu,Đấu nối API chính thức TDVN,,Chờ phụ thuộc,,,,Chờ endpoint và khoá
Checklist,Sản phẩm,Danh sách,Trang duyệt sản phẩm có lọc và phân trang,,Xong,,,,
Checklist,Sản phẩm,Danh sách,Ảnh đại diện trên thẻ sản phẩm,,Xong,,,,
Checklist,Sản phẩm,Gửi khách,Tab Sản phẩm trong hội thoại,,Xong,,,,
Checklist,Sản phẩm,Gửi khách,Gửi thẻ sản phẩm kèm link Mini App,,Đang làm,,,,"Giao diện xong, chờ địa chỉ Mini App thật"
Checklist,Sản phẩm,Gửi khách,Ẩn hàng ngừng bán khỏi danh sách gửi,,Xong,,,,
Checklist,Tài liệu bán hàng,Cấu trúc,"Cây thư mục nhiều cấp, sắp xếp được",,Xong,,,,
Checklist,Tài liệu bán hàng,Cấu trúc,"Bảy loại tài nguyên, mỗi loại một form",,Xong,,,,"Sản phẩm, ảnh, video, PDF, tài liệu, văn bản, liên kết"
Checklist,Tài liệu bán hàng,Cấu trúc,"Ba mức hiển thị, chặn ở máy chủ",,Xong,,,,Gửi khách · Nội bộ · Chỉ AI đọc
Checklist,Tài liệu bán hàng,Cấu trúc,Ghép tài liệu với sản phẩm bằng mã,,Xong,,,,
Checklist,Tài liệu bán hàng,Gửi khách,Bước 1 chọn sản phẩm hoặc tài liệu chung,,Xong,,,,
